match_id,round_id,steamid,name,item
match001,12,76561199643239709,Pimiento Picante,AK-47
match001,12,76561199766385308,Tokugawa,M4A1
match001,12,76561198870364933,Dr_Risto,AK-47
match001,12,76561198059502594,TheDidacte,Smoke Grenade
match001,12,76561198059502594,TheDidacte,AWP
match001,12,76561199127458988,Valerius,AWP
match001,12,76561199028151244,KurtKnusper,MP7
match001,12,76561198175180459,Kolle257,Nova
match001,12,76561198870364933,Dr_Risto,Molotov
match001,12,76561198870364933,Dr_Risto,Smoke Grenade
match001,12,76561198870364933,Dr_Risto,Flashbang
match001,12,76561198870364933,Dr_Risto,HE Grenade
match001,12,76561198059502594,TheDidacte,AK-47
match001,12,76561198812311227,anonymeTito,Glock-18
match001,12,76561199127458988,Valerius,HE Grenade
match001,12,76561199127458988,Valerius,Flashbang
match001,12,76561199127458988,Valerius,Zeus x27
match001,12,76561199643239709,Pimiento Picante,HE Grenade
match001,12,76561199643239709,Pimiento Picante,Flashbang
match001,12,76561198175180459,Kolle257,HE Grenade
match001,12,76561198175180459,Kolle257,Flashbang
match001,12,76561198175180459,Kolle257,Smoke Grenade
match001,12,76561198988987546,Baron26,HE Grenade
match001,12,76561198988987546,Baron26,Flashbang
match001,12,76561198988987546,Baron26,Smoke Grenade
match001,12,76561198988987546,Baron26,M4A4
match001,12,76561198812311227,anonymeTito,AWP
match001,12,76561198059502594,TheDidacte,Molotov
match001,12,76561198059502594,TheDidacte,HE Grenade
match001,12,76561198988987546,Baron26,Molotov
match001,12,76561198175180459,Kolle257,Incendiary Grenade
match001,12,76561199643239709,Pimiento Picante,Smoke Grenade
match001,12,76561199643239709,Pimiento Picante,Molotov
match001,12,76561198059502594,TheDidacte,Flashbang
match001,12,76561198812311227,anonymeTito,Flashbang
match001,12,76561198812311227,anonymeTito,Smoke Grenade
match001,12,76561198812311227,anonymeTito,Molotov
match001,13,76561198059502594,TheDidacte,USP-S
match001,13,76561198175180459,Kolle257,Glock-18
match001,13,76561198812311227,anonymeTito,USP-S
match001,13,76561198870364933,Dr_Risto,USP-S
match001,13,76561198988987546,Baron26,USP-S
match001,13,76561199028151244,KurtKnusper,Glock-18
match001,13,76561199127458988,Valerius,Glock-18
match001,13,76561199272285495,NedsTrex | FRUKTPEEK!,Glock-18
match001,13,76561199643239709,Pimiento Picante,USP-S
match001,13,76561199766385308,Tokugawa,Glock-18
match001,13,76561198870364933,Dr_Risto,Smoke Grenade
match001,13,76561199028151244,KurtKnusper,Tec-9
match001,13,76561199127458988,Valerius,Tec-9
match001,14,76561198059502594,TheDidacte,USP-S
match001,14,76561198175180459,Kolle257,Glock-18
match001,14,76561198812311227,anonymeTito,USP-S
match001,14,76561198870364933,Dr_Risto,USP-S
match001,14,76561199028151244,KurtKnusper,Glock-18
match001,14,76561199127458988,Valerius,Glock-18
match001,14,76561199272285495,NedsTrex | FRUKTPEEK!,Glock-18
match001,14,76561199643239709,Pimiento Picante,USP-S
match001,14,76561199766385308,Tokugawa,Glock-18
match001,14,76561198812311227,anonymeTito,M4A1
match001,14,76561199766385308,Tokugawa,SSG 08
match001,14,76561198059502594,TheDidacte,M4A1
match001,14,76561198870364933,Dr_Risto,M4A1
match001,14,76561199028151244,KurtKnusper,Nova
match001,14,76561199127458988,Valerius,Desert Eagle
match001,14,76561199643239709,Pimiento Picante,M4A1
